"Title","Authors","Abstract"
"Assessing medical student informatics competencies","Brynn E. Mays, assistant director, Education Services, and Jane L. Blumenthal, AHIP, director and assistant dean, Knowledge Management, Dahlgren Memorial Library; Jeffrey M. Weinfeld, assistant professor, Department of Family Medicine; and Marcus A. Banks, AHIP, NLM associate fellow, and Janette Shaffer, education coordinator, Dahlgren Memorial Library; Georgetown University Medical Center, Washington, DC","Objective: We collaborated with medical school faculty to develop a curriculum-integrated posttest model to assess informatics competencies in the medical school curriculum. Methods: An interdepartmental informatics curriculum committee was formed to review in which courses informatics concepts were taught throughout the four-year curriculum and to draft updated learning objectives. Through this faculty- librarian collaboration, we identified one preclinical course and one clinical clerkship in which to pilot an instructional intervention and tailored assignment for assessing student competencies. Faculty and librarians worked together to identify outcomes and indicators, create relevant assignments, and teach students information retrieval and information management skills. Results: In the 'Introduction to Health Care' course, all first- year students completed a community health informatics project. Twenty-five percent attended a voluntary library help session or sought librarian assistance in finding county-level data. Qualitative observation of 39 presentations indicated that all 39 students found information relevant to their assignment. Only 44% clearly documented their sources, making it difficult to objectively assess the quality of the information. In the third-year family medicine clerkship, faculty-librarian teams taught evidence-based medicine workshops. Students completed a clinical question worksheet and documented search strategies. During this pilot phase, the worksheets were not graded. Student feedback provided additional insights. Conclusions: Faculty-librarian collaboration aided the development of appropriate, relevant assignments for preclinical and clinical education. Coteaching by faculty- librarian teams emphasized the integrated nature of informatics competencies and enhanced the teaching experience. More work is needed to develop appropriate assessment strategies."
"Power of improved practice: taking information management education to the next level","Jeanne Sadlik, coordinator, Research & Education Services, and Logan Ludwig, associate dean, Health Sciences Library/ Media Services/Telemedicine, Loyola Health Sciences Library, Stritch School of Medicine, Loyola University Chicago, Maywood, IL","Objective: To integrate knowledge-based information into the curriculum by using an electronic learning management system and to demonstrate students' competencies in searching databases for evidence-based-medicine literature. Methods: Setting: Loyola University Chicago Stritch School of Medicine (SSOM) Maywood, Illinois Population: 130 third-year medical students Project Description: Since 1995, librarians held one-hour sessions with all third-year medical students at the start of clerkship rotations in July. In these sessions, students were taught research techniques necessary to identify evidence- based-medicine (EBM) literature. This class focused on teaching the students to use logical, analytical thinking combined with advanced searching skills to search MEDLINE. These skills enable the students to search the literature and critically evaluate articles identified to support their clinical decisions. In 2003, the librarians developed a computer-based learning (CBL) module, 'Searching for Evidence-Based- Medicine Literature,' to take the place of the instructor-led sessions. The CBL consisted of thirty-six slides and a ten- question posttest (random questions from a pool of 20) followed by survey questions. This module supports SSOM's move toward competency-based education. The data collected from the completion of the CBL demonstrate the competencies of the students in searching the literature for EBM information. All third-year students were notified by email of the need to complete the CBL by the end of July. Instructions for accessing the system were included. Results: One hundred thirty third-year medical students completed the evidence-based medicine CBL module. The average test score was 90%; 124 of the 130 students passed the posttest on the first try; 23 students attempted to complete the posttest without looking at the course material. Out of these 23, 20 passed the test on the first attempt. Sixty-three percent of the students found the information presented helpful in understanding how to search for EBM literature; 84% preferred completing the CBL module to an instructor-led class. Conclusion: This pilot study showed that using a CBL module was an effective way to teach research techniques necessary to identify EBM literature. Because of the success of this program, in the future, all third-year students will be required to complete the CBL module."
"Library support of the service-learning curriculum in an academic medical center","Marcus A. Banks, AHIP, associate fellow, Dahlgren Memorial Library, and Donna D. Cameron, service-learning director, Department of Family Medicine, Georgetown University Medical Center, Washington, DC","Objective: As part of the 'Introduction to Health Care' (IHC) course, self-selected first-year medical students participate in a service-based team project. Teams of students conduct health education and outreach at selected community sites, and faculty team leaders relate their experiences to course concepts. This project evaluated how the medical center library could improve its support of this program. Methods: As initial background for the project, a library fellow met with the service-learning director to determine the demographics and health profiles of the various locations visited by the students. The fellow also met with the IHC course director to learn his perspective regarding how the library could support this project. Soon after the students began conducting site visits, the fellow and service-learning director met with them to learn about additional resources that would be useful. We then observed the final session conducted by students at selected community sites, in order to gauge how they incorporated health information into their instruction and to ascertain how community members felt about the quality of the information they received. The perspectives of faculty, students, and community members helped to inform the library's collection of culturally appropriate and engaging consumer health resources. Results: Once a week for six weeks of the spring semester, a team of eight students met with eight residents of a group home for teenage mothers. The library fellow attended the first and last of these sessions, in order to promote the library as a useful resource for consumer health information. During this period, two of the eight students sought the fellow's assistance. Based upon their questions, the fellow informed all students about relevant resources. At the final session, students and mothers created a bulletin board of health information at the residential facility, which included information provided by the fellow. Conclusions: This was a good beginning to a collaboration that should expand. Future steps will include creation of a Web page of links to consumer health resources. Because the preparation for community service visits occurs during fall semester, it would be preferable for a librarian to build rapport with students then."
"Internet Web-based materials in family medicine education: a national survey","Helen G. Mayo, manager, Campus Outreach, UT Southwestern Library; Cassie L. Murphey-Cullen, assistant professor; Alice K. Marcee, faculty associate; and Gregory W. Schneider, assistant professor; UT Southwestern Family Practice Residency Program; Richard V. King, associate professor, UT Southwestern Biomedical Communications; and Robert D. Frey, assistant professor, UT Southwestern Family Practice Residency Program; University of Texas Southwestern Medical Center–Dallas","Objective: To determine family residents' actual experience with and desired exposure to computers, personal digital assistants (PDAs), the Internet, and Web-based information for clinical and educational activities. Methods: Programs listed in the American Academy of Family Physicians 2002 directory of Family Practice Residency Programs were divided into five categories based on affiliation and structure of the residency program. The 456 programs were community based (CB), community based and medical school affiliated (CBMSAF), community based and medical school administered (CBMSAD), medical school based (MS), and military. Random samples of programs within each of the first four categories were selected to participate in the study. Military programs were excluded. A total of 312 programs were selected: CB (24), CBMSAF (159), CBMSAD (73), and MS (56). A survey packet containing a 14-item questionnaire for each resident and a letter of explanation regarding the study was mailed to 312 randomly selected programs. Residents reported on their own access to computers and PDAs at home and in the office, their use of the Internet for personal use and clinical information, and their preferences for accessing information currently provided at teaching conferences, for national board exam preparation, and at clinical point-of-care. Results: The CBMSAF returned 600 surveys (49.3%); CD returned 60 surveys (4.8%); CBMSAD returned 300 surveys (25.5%); MS returned 240 surveys (20.4%). For statistical analysis, the CBMSAF and CB were combined into 'community centric,' and the CBMSAD and MS were combined into 'medical school centric' program types. Most residents have access to the Internet, a home computer, and a PDA. There is a statistically significant difference in self- reported Web search skills between community centric and medical school centric residents, but this difference disappears when residents are asked if they are able to find clinically useful information during their Web searches. Conclusion: Family practice residents' access to the Internet and computer-based information is very well established. There is a disconnect between the number residents that report advanced Web search skills and those who report finding clinically useful information. This has implications for teaching residents how to better use Internet-based resources."
"Empowering preceptors for teaching with technology: a change in practice","Brenda Seago, AHIP, director, Computer Based Instruction Lab, and Judy Gary, educational coordinator, Department of Family Practice, School of Medicine; Shannon Jones, NLM second year associate fellow, Tompkins-McCaw Library; Dan Han, info tech analyst, Computer Based Instruction Lab, and Chris Stephens, director, Applications Development, Office of Faculty and Instructional Development, School of Medicine; Indra Kancitis, Foundations of Clinical Medicine coordinator, Department of Pediatrics; and Rita Willett, director, Foundations of Clinical Medicine Course; Virginia Commonwealth University–Richmond","Purpose: This project assesses the outcomes of integrating the practical use of technology in a community practice setting on physician-preceptor teaching at Virginia Commonwealth University (VCU). Methods: The VCU School of Medicine distributed 10 IBM ThinkPads, funded by the VCU Faculty Laptop Initiative, to physician-preceptors to assist them with teaching. Faculty from the Foundations of Clinical Medicine (FCM) course, the Computer Based Instruction Lab, and Tompkins-McCaw Library collaborated to identify preceptors; provide training in computer use, online curriculum, and library resources for evidence-based medicine; and to deliver laptops to preceptors. Ten preceptors were selected from over 300 primary care physicians who have students in their offices during the students first 2 years of medical school. Participation was voluntary and required access to high speed Internet in the home or office. An email discussion list and bulletin board were established to facilitate communication with FCM staff and preceptors to improve medical student teaching. Also, a preceptor Website was developed to support the ongoing exchange of information between community preceptors and the FCM staff. Results: During December 2003 and January 2004, the ten laptops were delivered to either the physician's home or office and training was provided in PubMed, StatRef, Micromedex, School of Medicine online curricula, and medical resources on the Internet. Preceptors were introduced to the email discussion list and discussion forum. The preceptor Website debuted after the training and includes teaching guides for M-I and M-II students, links to relevant teaching resources and the electronic bulletin board, and announcements about upcoming programs. Conclusions: A focus group was conducted at a clinical skills workshop on campus. Preceptors rated the training an A+. The email discussion list and Web-based discussion forum were ranked valuable with potential, although neither had been used extensively. The Website also received positive feedback; the preceptors appreciated knowing the resources were available."
"Multidisciplinary medical case study development for first-year medical students","Dan Kipnis, education services librarian; Tony Frisby, director, Education Services; and Liz Mikita, education services librarian; Academic Information Services and Research, Thomas Jefferson University, Philadelphia, PA","Objective: To teach medical informatics skills to 232 first-year medical students using three online medical case studies developed with the collaboration of librarians, physicians, and instructional designers. Methods: The first formal medical informatics class at Jefferson Medical College was created in 1987. Initially a traditional combination of lectures and hands-on workshops, the course was redesigned in 1996 to be a single two-hour lecture and 9 self-paced computer-based learning hours. In 2003 the Jefferson Medical College curriculum was changed from a traditional core study in the basic sciences during the first year to a system-based model. At this time, many free- standing courses such as medical informatics were integrated into a new course, 'Medical Practice for the 21st Century.' The content presented in the new course included medical informatics, medical ethics and humanities, biostatistics, health policy, and clinical history and examination skills. Each of these courses presented relevant content in synch with the body system functions of the new combined gross anatomy, histology, biochemistry, and physiology course, 'Human Form and Development.' This poster will describe the history of the medical informatics course and the process of designing the case studies to fit into the new course management system, and will review the experiences of the librarians involved. Results: The following proved to be challenges: • Finding physicians to develop credible case studies (we also got help from a nurse and dietician) • Adapting the case studies to a commercial course management system • Grading answers from 232 medical students • Providing personalized feedback to at least 3 out of 14 questions per student • Dealing with technical issues • Developing questions/answers that could assess hard to measure search strategies and skills (and be graded automatically) • Taking into account that databases are a moving target (search results can change from day to day) Conclusions: Recruit medical staff to help develop realistic case studies, minimize ambiguity in test questions, and construct meaningful assessments given the structure and limitations of a course management system. Develop exercises that build information literacy skills in a method that encourages self-directed learning but allows for individualized attention when necessary."
"Combined power: integration of medical informatics curriculum into problem-based learning course for first- year medical students.","Laura Abate, electronic resources & instructional librarian; Anne Linton, AHIP, director; and Patricia Wilson, associate director, Public Services; Himmelfarb Health Sciences Library, The George Washington University, Washington, DC","Objective: Integration and restructuring of medical informatics and problem-based learning curricula to improve resource selection and search skills, to boost recall of informatics topics, to provide point-of-use learning and instruction, and to enhance student experience. Methods: Librarians developed and taught 'Introduction to Medical Informatics,' a required pass/fail course to first-year medical students, through the 2002/03 school year. In 2003/04, 'Introduction to Medical Informatics' was renamed 'PBL Informatics' and integrated with 'Problem-Based Learning' in which students research and discuss individual medical cases. Students completed an online curriculum including tasks and quizzes and demonstrated proficiency with specific computer applications. Librarians were matched with individual PBL groups, acted as advisors to students in their research, and guided students through PBL's informatics-related curriculum. Increased librarian participation in PBL groups was initiated in part by student feedback requesting closer integration. To restructure the medical informatics online curriculum, the original twelve sessions were reduced to six through consolidation and elimination. Each of the six sessions contains a written lecture and quiz and is matched with a PBL case. As students progress through a PBL case, informatics issues arise that are mirrored in the online informatics curriculum. In addition, at two of the four group meetings per case, librarians make brief (5–10 minutes) presentations to their PBL groups on topics drawn from the informatics curriculum and the PBL case. Results: The success of 'PBL Informatics' relies on additional librarian time and student contact over previous years, closer collaboration with the PBL faculty to rewrite PBL cases to include informatics topics, and increased interaction with each group's faculty tutor. Positive feedback has been received from students, course directors, faculty tutors, and faculty librarians. Student selection of information resources improved over the previous year, and students consistently cited high-quality resources in their papers and presentations. Conclusions: The integration of the medical informatics and PBL curricula has been successful. Future efforts will likely involve continued rewriting and restructuring of PBL cases to incorporate informatics concepts and to hone information- seeking and evaluation skills."
"Improved practice: distributed library instruction to nursing students","Kate Finkelstein, outreach librarian, Dahlgren Memorial Library, Georgetown University Medical Center, Washington, DC, and Marie Reidelbach, associate director, User Services, and associate professor, and Alison Bobal, reference/digital services librarian, McGoogan Library of Medicine, University of Nebraska Medical Center–Omaha","Objectives: This poster will describe the process by which an academic health sciences library created digital video tutorials and distributed them via CD-ROM. This poster will evaluate: • process of creating the CDs • effectiveness of the instructional digital videos • content presented in each learning module • whether the library should continue this mode of user instruction Methods: This academic health sciences library serves an increasing number of distance students, most of whom enroll through the university's College of Nursing. Most of these students visit the campus only once each semester during course orientation, making scarce opportunities for effective library instruction. In August 2003, the library distributed over ninety CDs containing nine screen-captured tutorials to all College of Nursing distance students. This group included all students enrolled in the RN to BSN and graduate/doctoral programs, as well as BSN students taking online courses. The library created a survey instrument to assess the perceived usefulness and effectiveness of this mode of instruction. The library contacted forty-eight students who received the CDs and asked them to anonymously complete the online survey. Of the forty-eight surveys distributed, twenty-seven were returned (56%) and of those twenty-seven responses, sixteen students used and evaluated the CD. All user feedback was positive regarding the usefulness of the CD. About half of the students answered that, in addition to receiving the CD, they would have also liked a hands-on instructional session. Respondents commented that the CD was helpful throughout the semester whenever they needed to do library research. Based on the survey comments, the library will continue to distribute similar CDs, in addition to on-campus instruction sessions during orientation. Additionally, the library will place the video tutorials online for wider distribution of the modules."
"'Having an information problem? We'll help you lick it!' The Library Survivor Tour","Marilyn A. Rosen, biomedical information specialist, and Angela Dixon, head, Collection Management, and biomedical information specialist, Edward G. Miner library, University of Rochester Medical Center, Rochester, NY","Purpose: This poster will present our redesign of the orientation week tour for first-year medical students, in which we incorporated the needs of various styles of learners. Setting/Participants/Resources: The tour was conducted in an academic health sciences library serving a school of medicine and dentistry, a school of nursing, and a 690-bed hospital. Every August, all first-year medical students are required to tour the library. Brief Description: Two members of the reference staff and the educational coordinator developed a scavenger hunt with the reality game show theme of Survivor. The medical students named their teams, then proceeded to answer thirteen questions within twenty minutes. They 'hunted' in a variety of library locations and in numerous electronic resources. Usability questions on our new Website were also included. The tour ended with a wrap-up review session, in which every student was a winner. Each student received a library mug filled with candy and a gift certificate. The winning teams were awarded a Medical School Survival Kit. Results/Outcome: The students became familiar with the library layout, resources, and services in an upbeat, interactive, lively atmosphere. Librarians and staff were viewed as more approachable (who wouldn't smile at a person wearing a pith helmet?). Evaluation Method: A survey was emailed after the tour, outlining its goals and asking the students if they felt the goals were met. Comments received indicated the students' enthusiasm for, and appreciation of, the tour."
"Information literacy for med I students: testing their knowledge and our effectiveness","Melissa L. Just, AHIP, information specialist, and Eileen Eandi, information specialist, Norris Medical Library, University of Southern California–Los Angeles","Objective: To determine medical students' levels of information literacy. To provide an information literacy instructional session. To deliver a posttest to determine the effectiveness of instruction. Methods: The University of Southern California's (USC's) Norris Medical Library has participated in the Keck School of Medicine's student orientation for years by providing MEDLINE instruction. In 2000, the school instituted a case- based learning model, and the library was invited to participate more fully—first, by adding a yearlong, course-integrated MEDLINE searching assignment, then by adding more library training time to orientation week. The library decided to add a general information literacy (IL) component to the orientation session but did not have any concrete knowledge of the incoming students' skills. Librarians developed a course to teach students basic IL skills needed for becoming more efficient and effective self-directed learners. A test was developed to administer as both a pre- and posttest. The pretest determined students' IL skills before the course. The posttest determined what knowledge students gained during the class and served as a measure of course effectiveness. Also, students were asked to rate the quality of the course based on two measures: (1) percentage of content already known, and (2) helpfulness of content. This poster summarizes the course content, presents results of the pre- and posttests, addresses students' satisfaction, and draws conclusions about the future of the course. Results: In 2003, the students scored an average of 80.1% on the pretest, suggesting that they entered medical school with a solid understanding of basic IL. After the sessions, the average score was 93.4%. Although the overall scores increased (percent change = 16.6%), the scores on two of the questions decreased, suggesting the students 'unlearned' some information during the class. Students self-reported that they already knew an average of 62.6% of course content (considerably lower than the pretest suggested), and 75.0% reported that the information session was helpful. Conclusions: The library will continue to offer the orientation session but focus on USC-specific resources, rather than reviewing general information literacy. Instructors will review their teaching practices to ensure that all class material is presented clearly."
